restaurant_key,restaurant google map url,neighborhood,address,coordinates,details_monday,details_tuesday,details_wednesday,details_thursday,details_friday,details_saturday,details_sunday,details_games,details_haunted
EP-LP,https://maps.google.com/?cid=704670832781504746&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"603 N La Cienega Blvd, West Hollywood, CA 90069, USA","34.0821636,-118.3767877",4pm-6pm,4pm-6pm,4pm-6pm,4pm-6pm,4pm-6pm,,,HOES & TRICKS,N
Employees Only,https://maps.google.com/?cid=10568085337037402081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7953 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0910171,-118.3632014",N/A,"6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks","6-8pm
Food & $12 Drinks",,N
Formosa Cafe,https://maps.google.com/?cid=14682949317920149170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7156 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0903968,-118.3459515","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials","3-6pm
$10 cocktails / $5 beer / $10 food specials",,H'D AF
Gracias Madre,https://maps.google.com/?cid=16040271027876042526&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8905 Melrose Ave, West Hollywood, CA 90069, USA","34.0810417,-118.3869706","3pm-6pm
$9 Marg / $6 Beer / $7 Bites
Mezcal Monday!","3pm-6pm
$9 Marg / $6 Beer / $7 Bites
Taco Tuesdays (3 for $25)!","3pm-6pm
$9 Marg / $6 Beer / $7 Bites","3pm-6pm
$9 Marg / $6 Beer / $7 Bites","3pm-6pm
$9 Marg / $6 Beer / $7 Bites",,,BEST OUTSIDE PATIO,N
Harlowe,https://maps.google.com/?cid=11662087089393420580&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7321 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0909814,-118.3494593",N/A,"5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer","5-7pm
$10 Cocktails / $8 Wells / $1 off Beer",DANCING; GHOSTS,H'D AF
The Henry,https://maps.google.com/?cid=10359485350366858713&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"120 N Robertson Blvd, Los Angeles, CA 90048, USA","34.0762489,-118.383221","3 - 6pm
$8 draft beer /
$12 cocktails;
food deals","3 - 6pm
$8 draft beer /
$12 cocktails;
food deals","3 - 6pm
$8 draft beer /
$12 cocktails;
food deals","3 - 6pm
$8 draft beer /
$12 cocktails;
food deals","3 - 6pm
$8 draft beer /
$12 cocktails;
food deals",,,,
Hi-Tops,https://maps.google.com/?cid=4944047958818480040&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"1714 N Vermont Ave, Los Angeles, CA 90027, USA","34.1022363,-118.2914425","12pm-8pm
$5 all beer / $5 wells / $5 wings all day","12pm-8pm
$5 all beer / $5 wells
Trivia @ 8pm!","12pm-8pm
$5 all beer / $5 wells","12pm-8pm
$5 all beer / $5 wells","12pm-8pm
$5 all beer / $5 wells","12pm-8pm
$5 all beer / $5 wells","12pm-8pm
$5 all beer / $5 wells",TV'S; GAY BOYS,N
Jones,https://maps.google.com/?cid=10057629126821585059&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7205 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0908821,-118.3464231","10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas","10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas","10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas","10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas",N/A,N/A,"10:30pm - 2am /
$7 cocktails /
$5 beers / 
$10 HH Apps & Pizzas",,
Kinari,https://maps.google.com/?cid=14077426528883217250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"801 N Fairfax Ave, Los Angeles, CA 90046, USA","34.0856363,-118.3619568","4pm-7pm
$6 Draft / $9 Sake / Food","4pm-7pm
$6 Draft / $9 Sake / Food","4pm-7pm 
$6 Draft / $9 Sake / Food","4pm-7pm 
$6 Draft / $9 Sake / Food","4pm-7pm 
$6 Draft / $9 Sake / Food",,,TV'S,Y; By Fat Dogs
Laurel Hardware,https://maps.google.com/?cid=11980422767060992473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7984 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0906082,-118.3644347","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food","5pm-6pm
$12-$14 cocktails & food",,
Las Perlas,https://maps.google.com/?cid=9931021046277700799&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"107 E 6th St, Los Angeles, CA 90014, USA","34.04509840000001,-118.2495126","5-8pm bar / 
5-7pm tacos back patio","5-8pm bar / 
5-7pm tacos back patio","5-8pm bar / 
5-7pm tacos back patio","5-8pm bar / 
5-7pm tacos back patio","5-8pm bar / 
5-7pm tacos back patio",,,,N
Madre,https://maps.google.com/?cid=9250984602494581104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"801 N Fairfax Ave #101, Los Angeles, CA 90046, USA","34.0857457,-118.3616978","3-6pm
$9 margaritas / $6 taco apps","3-6pm
$9 margaritas / $6 taco apps","3-6pm
$9 margaritas / $6 taco apps","3-6pm
$9 margaritas / $6 taco apps","3-6pm
$9 margaritas / $6 taco apps",,,,N
Melrose Umbrella Co.,https://maps.google.com/?cid=11321764694019804244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"7465 Melrose Ave, Los Angeles, CA 90046, USA","34.0838389,-118.3527123","5-7pm
$12 cocktails / 
$5 Miller HL","5-7pm
$12 cocktails / 
$5 Miller HL","5-7pm
$12 cocktails / 
$5 Miller HL","5-7pm
$12 cocktails / 
$5 Miller HL","5-7pm
$12 cocktails / 
$5 Miller HL",,,GHOSTS,H'D AF
Mr. Furleys W 3rd,https://maps.google.com/?cid=6434826667180136871&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8445 W 3rd St, Los Angeles, CA 90048, USA","34.073418,-118.3747891","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE","5-9pm
Buy 2 drinks Get 3rd FREE",DARTS; POOL TABLE,M
OR Bar,https://maps.google.com/?cid=11872065185144145365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8228 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0905583,-118.3679036","4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis","4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis","4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis","4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis","4pm-7pm
$9 Cocktails / $6.50 Beer / $13 Martinis/Negronis",,,,
The Phoenix,https://maps.google.com/?cid=18390320676594090767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Melrose Fairfax / West Hollywood,"8480 W 3rd St, Los Angeles, CA 90048, USA","34.07308520000001,-118.3758821","5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers","5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers","5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers","5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers","5pm-8pm
$90 Cocktail Pitchers / $32 Beer Pitchers",,,,
