restaurant_key,restaurant google map url,neighborhood,address,coordinates,details_monday,details_tuesday,details_wednesday,details_thursday,details_friday,details_saturday,details_sunday,details_games,details_haunted
Mother Tongue,https://maps.google.com/?cid=14454867485310468324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hollywood,"960 N La Brea Ave 4th Floor, Los Angeles, CA 90038, USA","34.0883989,-118.3437201",,,"4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites","4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites","4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites","4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites","4 - 6pm /
$10 cocktails & wine; $5 beers; $4 - 8 bar bites",,
Power House,https://maps.google.com/?cid=11682698650544694459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hollywood,"1714 Highland Ave, Los Angeles, CA 90028, USA","34.10213,-118.3384633","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned","4 - 7pm / 
$7 wells /
$9 Marg & Old Fashioned",,
Sunset Vinyl,https://maps.google.com/?cid=14062406171515063084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hollywood,"1521 Vine St, Los Angeles, CA 90028, USA","34.0988267,-118.3270184","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells","7 - 8pm /
$5 wells",QUEUEING RECORDS,
The Well,https://maps.google.com/?cid=14278525344119121956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hollywood,"6255 Sunset Blvd, Los Angeles, CA 90028, USA","34.0985325,-118.3255669",5 - 8pm,"5-8pm / 
Trivia",5 - 8pm,5 - 8pm,5 - 8pm,,,JUKEBOX,
All Seasons Brewing,https://maps.google.com/?cid=1895768546188553684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"800 S La Brea Ave, Los Angeles, CA 90036, USA","34.0603894,-118.3444837",3pm-7pm / Beer & Shot Specials,3pm-7pm / Beer & Shot Specials,3pm-7pm / Beer & Shot Specials,3pm-7pm / Beer & Shot Specials,3pm-7pm / Beer & Shot Specials,,,SKEE-BALL,
Breakroom 86,https://maps.google.com/?cid=585944012083531389&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"630 S Ardmore Ave, Los Angeles, CA 90010, USA","34.0622812,-118.3014419",,"9pm-10pm
BUY ONE GET ONE FREE DRINKS!","9pm-10pm
BUY ONE GET ONE FREE DRINKS!","9pm-10pm
BUY ONE GET ONE FREE DRINKS!",,,,,
Delicious Pizza,https://maps.google.com/?cid=7221154802553902263&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"5419 W Adams Blvd, Los Angeles, CA 90016, USA","34.0326813,-118.360925",4 - 6pm; 50% off whole pizzas + draft and wine deals,4 - 6pm; 50% off whole pizzas + draft and wine deals,4 - 6pm; 50% off whole pizzas + draft and wine deals,4 - 6pm; 50% off whole pizzas + draft and wine deals,N/A,N/A,N/A,,
Escala,https://maps.google.com/?cid=17094329334952669336&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"3451 W 6th St, Los Angeles, CA 90020, USA","34.0637517,-118.2968488","4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ","4 - 7pm; 11 - 1am
$7 Beer; $7 wines & wells; 
$7 old fashioneds; 
select food ",,
Founders Ale House,https://maps.google.com/?cid=8841327919080696438&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"8771 W Pico Blvd, Los Angeles, CA 90035, USA","34.0549248,-118.3832419","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","12 - 7pm / 
$5 HH food
 $12 cocktails & 
$6 beer","SPORTS WATCHIN'; 
NFL BLITZ",
Frank 'n Hanks,https://maps.google.com/?cid=3801972435844512654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"518 S Western Ave, Los Angeles, CA 90020, USA","34.0647274,-118.3089035","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys","6pm-8pm
$4 PBR Tall Boys",POOL TABLE,Y
The Bar at Johnny's,https://maps.google.com/?cid=10667033404610405541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"4327 W Adams Blvd, Los Angeles, CA 90018, USA","34.0328059,-118.3329372",,,,,,,,,
Little Bar,https://maps.google.com/?cid=3809388952540120318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"757 S S La Brea Ave, Los Angeles, CA 90036, USA","34.0658603,-118.3440364","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine","2 - 8pm / 
$7 Wells, Beer & Wine",,
Lobby Bar @ The Line,https://maps.google.com/?cid=137007065060838895&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"3515 Wilshire Blvd, Los Angeles, CA 90010, USA","34.062113,-118.3012161","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine","3pm-7pm
$8 well/beer/wine",,
The Normandie Club,https://maps.google.com/?cid=10247393589135687419&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mid-City / West Adams / Koreatown,"3612 W 6th St, Los Angeles, CA 90020, USA","34.0634767,-118.3008726","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice","6 - 8pm
$12 House Cocktails; $7 Bartender’s Choice",,
Arts District Brewing Co,https://maps.google.com/?cid=14572293836080270156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"828 Traction Ave, Los Angeles, CA 90013, USA","34.0447118,-118.2352764","3 - 7pm / 
$5 select beers / 
FREE SKEEBALL","3 - 7pm / 
$5 select beers / $7 wells","3 - 7pm / 
$5 select beers / $7 wells","3 - 7pm / 
$5 select beers / $7 wells","3 - 7pm / 
$5 select beers / $7 wells",N/A,N/A,"Skeeball (free all Mon); 
SPORTS WATCHIN'",
Beelman's Pub,https://maps.google.com/?cid=11023777706752314921&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"600 S Spring St, Los Angeles, CA 90014, USA","34.0455701,-118.2509263","4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps","4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps","4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps","4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps","4 - 7pm / 
$11 Cocktails; $8 wine; $6 beer; Select Food & Apps",N/A,N/A,,
Broken Shaker,https://maps.google.com/?cid=1170426342579754801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"416 W 8th St, Los Angeles, CA 90014, USA","34.0447551,-118.2564556","3 - 6pm / 
$14 Cocktails; $10 wine; $6 beer; Select Food & Apps","3 - 6pm / 
$14 Cocktails; $10 wine; $6 beer; Select Food & Apps","3 - 6pm / 
$14 Cocktails; $10 wine; $6 beer; Select Food & Apps","3 - 6pm / 
$14 Cocktails; $10 wine; $6 beer; Select Food & Apps",N/A,N/A,N/A,VIEWS,
Everson Royce Bar,https://maps.google.com/?cid=3371906459490486129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"1936 E 7th St, Los Angeles, CA 90021, USA","34.034389,-118.2325991",,"4 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","4 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","4 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","4 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","2 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food","2 - 6pm / 
$11 cocktails; $6-7 beers / 
$8 wine /
$10ish food",OUTDOOR PATIO,
Far Bar,https://maps.google.com/?cid=5967468054412822445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"347 1st St, Los Angeles, CA 90012, USA","34.04974869999999,-118.2394595","3 - 7pm / 
$11 Cocktails; Select Food & Apps","3 - 7pm / 
$11 Cocktails; Select Food & Apps","3 - 7pm / 
$11 Cocktails; Select Food & Apps","3 - 7pm / 
$11 Cocktails; Select Food & Apps","3 - 7pm / 
$11 Cocktails; Select Food & Apps",N/A,N/A,SPORTS WATCHIN',
Golden Gopher,https://maps.google.com/?cid=10228531836108658801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"417 W 8th St, Los Angeles, CA 90014, USA","34.0450353,-118.2562027","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","3 - 8pm / 
$9 Cocktails; $6 wells; $5 beer","POOL TABLE; 
OUTDOOR PATIO",
Joey DTLA,https://maps.google.com/?cid=12586880607528883189&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"700 W 7th St Ste S430, Los Angeles, CA 90017, USA","34.0483595,-118.2587597","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes","3 - 6pm / 
$4 off drinks and dishes",OUTDOOR PATIO,
Perch,https://maps.google.com/?cid=3866628448079004996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"448 S Hill St, Los Angeles, CA 90013, USA","34.0488477,-118.2514257","4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps","4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps","4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps","4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps","4 - 6pm / 
$9 Cocktails; $7 wine; $5 beer; Select Food & Apps",N/A,N/A,VIEWS,
33 Taps,https://maps.google.com/?cid=1429498327596697899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Downtown LA,"1240 S Figueroa St, Los Angeles, CA 90015, USA","34.0410951,-118.2670827","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps / TACO TUES all day $8 margs + $9 three tacos","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","3 - 7pm
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","9:30pm - close
$5 33T beers / $7 wells / $8 cocktails / $9 food apps","9:30pm - close
$5 33T beers / $7 wells / $8 cocktails / $9 food apps",SPORTS WATCHIN',
Bigfoot West,https://maps.google.com/?cid=11465172617815465054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Culver City / West LA,"10939 Venice Blvd., Los Angeles, CA 90034, USA","34.0155795,-118.413184","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & 
draft beer
Trivia 9pm","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer",,
Maple Block Meat Co.,https://maps.google.com/?cid=1606745421131897708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Culver City / West LA,"3973 Sepulveda Blvd, Culver City, CA 90230, USA","34.0092418,-118.4146691","5 - 6:30pm
$5 House Cocktails; $5 Beer; $6 Wine; $8 Wings","5 - 6:30pm
$5 House Cocktails; $5 Beer; $6 Wine; $8 Wings","5 - 6:30pm
$5 House Cocktails; $5 Beer; $6 Wine; $8 Wings","5 - 6:30pm
$5 House Cocktails; $5 Beer; $6 Wine; $8 Wings",N/A,N/A,N/A,,
Nickel Mine,https://maps.google.com/?cid=14167202315900867170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Culver City / West LA,"11363 Santa Monica Blvd, Los Angeles, CA 90025, USA","34.0460468,-118.4507368","5 - 8pm / 
$6 drinks","5 - 8pm / 
$6 drinks","5 - 8pm / 
$6 drinks","5 - 8pm / 
$6 drinks","5 - 8pm / 
$6 drinks",N/A,"4 - 8pm / 
$6 drinks",TABLE GAMES; SPORTS-WATCHIN',
Oldfield's Liquor Room,https://maps.google.com/?cid=10689908391870387112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Culver City / West LA,"10899 Venice Blvd. W, Los Angeles, CA 90034, USA","34.0163134,-118.4118608","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer
Jazz Trio","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer
Jazz Trio","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer","5 - 7pm /
 $10 cocktails, 
$9 wine, 
$6 draft beer",LIVE MUSIC,
Q's Billiards,https://maps.google.com/?cid=6049200821890325220&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Culver City / West LA,"11835 Wilshire Blvd, Los Angeles, CA 90025, USA","34.0477046,-118.4634104","4 - 7pm / 
$2 off beers + wells; Select food specials","4 - 7pm / 
$2 off beers + wells; Select food specials","4 - 7pm / 
$2 off beers + wells; Select food specials","4 - 7pm / 
$2 off beers + wells; Select food specials","4 - 7pm / 
$2 off beers + wells; Select food specials",,,"POOL TABLE; 
OUTDOOR PATIO; SPORTS WATCHIN'",
Cabo Cantina,https://maps.google.com/?cid=13584409091586557794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Hollywood,"6669 Hollywood Blvd, Los Angeles, CA 90028, USA","34.1018302,-118.3356221","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks","4 - 8pm / 10:30p - 12:30a /
 2-for-1 HH drinks", 
Duke's Malibu,https://maps.google.com/?cid=1513497510111564432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Santa Monica / Venice,"21150 Pacific Coast Hwy, Malibu, CA 90265, USA","34.0364078,-118.6359695","4- 9pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees","4- 6pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees; TACO TUESDAY","4- 6pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees","4- 6pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees","4- 6pm
$5 Draft Beer; $7 Wine; $2 Off All Appetizers, $4 Off Select Entrees",N/A,N/A,,
Gin Rummy,https://maps.google.com/?cid=10688231107464481664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Santa Monica / Venice,"822 Washington Blvd, Marina Del Rey, CA 90292, USA","33.9880768,-118.4518361","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites","4- 6pm
$10 daiquiris; $8 wines; $5 beer; $8 - 10 bar bites",,
The Misfit,https://maps.google.com/?cid=730683559197686151&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Santa Monica / Venice,"225 Santa Monica Blvd, Santa Monica, CA 90401, USA","34.0154575,-118.4966569","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines","12pm-7pm
50% off cocktails, spirits & wines",,Y
The Santa Monica Whaler,https://maps.google.com/?cid=15139348952383136297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Santa Monica / Venice,"101 Broadway, Santa Monica, CA 90401, USA","34.0129883,-118.4964563",3pm-6pm / Patio HH: 12pm-3pm,3pm-6pm / Patio HH: 12pm-3pm,3pm-6pm / Patio HH: 12pm-3pm,3pm-6pm / Patio HH: 12pm-3pm,N/A,N/A,N/A,DANCING,Y (by Makai)
The Waterfront Venice,https://maps.google.com/?cid=7030651404383979618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Santa Monica / Venice,"205 Ocean Front Walk, Venice, CA 90291, USA","33.995139,-118.4807134",N/A,N/A,"3-7pm
BUY ONE, GET ONE FREE","3-7pm
BUY ONE, GET ONE FREE","3-7pm
BUY ONE, GET ONE FREE",N/A,N/A,,N
Tavern on Main,https://maps.google.com/?cid=3378478415113761689&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Santa Monica / Venice,"123 Main St, El Segundo, CA 90245, USA","33.9173185,-118.4161078","4- 6pm
$9 cocktails; $7 wells; $6 drafts; $4 -10 bar bites","4- 6pm
$9 cocktails; $7 wells; $6 drafts; $4 -10 bar bites","4- 6pm
$9 cocktails; $7 wells; $6 drafts; $4 -10 bar bites","4- 6pm
$9 cocktails; $7 wells; $6 drafts; $4 -10 bar bites","4- 6pm
$9 cocktails; $7 wells; $6 drafts; $4 -10 bar bites","4- 6pm
$9 cocktails; $7 wells; $6 drafts; $4 -10 bar bites","4- 6pm
$9 cocktails; $7 wells; $6 drafts; $4 -10 bar bites",SPORTS WATCHIN'; OUTDOOR PATIO w/ TVs,N
Bacari Silverlake,https://maps.google.com/?cid=15759891190649939146&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"3626 Sunset Blvd, Los Angeles, CA 90026, USA","34.0901197,-118.2775804","5 - 7pm
$8 wine/sangria; $6 beers /
$2 off food","5 - 7pm
$8 wine/sangria; $6 beers /
$2 off food","5 - 7pm
$8 wine/sangria; $6 beers /
$2 off food","5 - 7pm
$8 wine/sangria; $6 beers /
$2 off food","4 - 7pm
$8 wine/sangria; $6 beers /
$2 off food",N/A,N/A,,
Barcade,https://maps.google.com/?cid=3377500441821156305&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Glendale / Pasadena / Eagle Rock / HLP,"5684 York Blvd, Los Angeles, CA 90042, USA","34.1185236,-118.1941408","4 - 6pm /
$1 off beer, wine, & well","4 - 6pm /
$1 off beer, wine, & well","4 - 6pm /
$1 off beer, wine, & well","4 - 6pm /
$1 off beer, wine, & well","4 - 6pm /
$1 off beer, wine, & well",N/A,N/A,ARCADE GAMES,
Bar Bandini,https://maps.google.com/?cid=12407874994181303694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"2150 Sunset Blvd, Los Angeles, CA 90026, USA","34.077304,-118.265491","4 - 6pm
$8 Select Wine; $5 Select Beer; $12 Cheese Board","4 - 6pm
$8 Select Wine; $5 Select Beer; $12 Cheese Board","4 - 6pm
$8 Select Wine; $5 Select Beer; $12 Cheese Board","4 - 6pm
$8 Select Wine; $5 Select Beer; $12 Cheese Board","4 - 6pm
$8 Select Wine; $5 Select Beer; $12 Cheese Board",N/A,N/A,,
Bar Henry,https://maps.google.com/?cid=6361717150947778879&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"1228 Sunset Blvd, Los Angeles, CA 90026, USA","34.0690176,-118.2507893","5 - 7pm
$9 cocktails; $5 canned beers","5 - 7pm
$9 cocktails; $5 canned beers","5 - 7pm
$9 cocktails; $5 canned beers","5 - 7pm
$9 cocktails; $5 canned beers","5 - 7pm
$9 cocktails; $5 canned beers","5 - 7pm
$9 cocktails; $5 canned beers","5 - 7pm
$9 cocktails; $5 canned beers",LATE DJ / MUSIC,
Bigfoot Lodge,https://maps.google.com/?cid=2201558164065068437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"3172 Los Feliz Blvd, Los Angeles, CA 90039, USA","34.1234893,-118.2679671","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & 
draft beer
Trivia 9pm","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer","5 - 8pm /
 $6 cocktails & draft beer",,
Cha Cha Lounge,https://maps.google.com/?cid=17283973382231261846&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"2375 Glendale Blvd, Los Angeles, CA 90039, USA","34.0993554,-118.2594917","5 - 9pm /
 $6 wells & 
$5 draft PBR","5 - 9pm /
 $6 wells & 
$5 draft PBR","5 - 9pm /
 $6 wells & 
$5 draft PBR","5 - 9pm /
 $6 wells & 
$5 draft PBR","5 - 9pm /
 $6 wells & 
$5 draft PBR","5 - 9pm /
 $6 wells & 
$5 draft PBR","5 - 9pm /
 $6 wells & 
$5 draft PBR",FOOSBALL TABLES; PHOTOBOOTH,
Club Tee Gee,https://maps.google.com/?cid=9819539691371869890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Silverlake / Los Feliz / Atwater & Virgil Village,"3210 Glendale Blvd, Los Angeles, CA 90039, USA","34.1176757,-118.2607708",Open - 7pm,Open - 7pm,Open - 7pm,Open - 7pm,Open - 7pm,Open - 7pm,Open - 7pm,"OUTDOOR PATIO, EVENTS & MUSIC;",
