restaurant_key,restaurant google map url,address,coordinates
Madre USA,https://maps.google.com/?cid=9250984602494581104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"801 N Fairfax Ave #101, Los Angeles, CA 90046, USA","34.0857457,-118.3616978"
Melrose Umbrella Co. USA,https://maps.google.com/?cid=11321764694019804244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"7465 Melrose Ave, Los Angeles, CA 90046, USA","34.0838389,-118.3527123"
Mercado USA,https://maps.google.com/?cid=8969681078057852800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3425 1st St, Los Angeles, CA 90063, USA","34.0373337,-118.1936301"
Mr. Furleys W 3rd USA,https://maps.google.com/?cid=6434826667180136871&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8445 W 3rd St, Los Angeles, CA 90048, USA","34.073418,-118.3747891"
OR Bar USA,https://maps.google.com/?cid=11872065185144145365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8228 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0905583,-118.3679036"
The Phoenix USA,https://maps.google.com/?cid=18390320676594090767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"8480 W 3rd St, Los Angeles, CA 90048, USA","34.07308520000001,-118.3758821"
Phorage Weho USA,https://maps.google.com/?cid=5779342421658487379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"7326 Santa Monica Blvd #10, Los Angeles, CA 90046, USA","34.0905595,-118.3495622"
Snake Pit Alehouse USA,https://maps.google.com/?cid=10183337500710009108&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"7529 Melrose Ave, Los Angeles, CA 90046, USA","34.0838042,-118.3541682"
Surly Goat USA,https://maps.google.com/?cid=14554943794334663828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"7929 Santa Monica Blvd, West Hollywood, CA 90046, USA","34.0910744,-118.3626536"
Tacos Tu Madre USA,https://maps.google.com/?cid=8910599073140358487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1111 Hayworth Ave, Los Angeles, CA 90046, USA","34.0912616,-118.3632356"
