restaurant_key,restaurant google map url,address,coordinates
Broken Compass USA,https://maps.google.com/?cid=7744127070519864208&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"2013 W Burbank Blvd, Burbank, CA 91506, USA","34.18069,-118.3331819"
Finney's USA,https://maps.google.com/?cid=12577374012768123061&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"164 E Palm Ave #102, Burbank, CA 91502, USA","34.181992,-118.3106157"
General Admission USA,https://maps.google.com/?cid=2229121280470119872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3311 Cahuenga Blvd W, Los Angeles, CA 90068, USA","34.130329,-118.3503724"
El Tejano USA,https://maps.google.com/?cid=1208017632291265376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"11122 Magnolia Blvd, North Hollywood, CA 91601, USA","34.1646307,-118.3732448"
Idle Hour USA,https://maps.google.com/?cid=14718533400971829359&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4824 Vineland Ave, North Hollywood, CA 91601, USA","34.1583867,-118.3700036"
Islands USA,https://maps.google.com/?cid=16970828455929159769&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"6081 Center Dr #104, Los Angeles, CA 90045, USA","33.9777351,-118.3913327"
Tiki No USA,https://maps.google.com/?cid=17091092062440598906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4657 Lankershim Blvd, North Hollywood, CA 91602, USA","34.1554728,-118.3692617"
Over / Under USA,https://maps.google.com/?cid=8118545727696673862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"310 N San Fernando Blvd, Burbank, CA 91502, USA","34.182833,-118.3107612"
Anayas USA,https://maps.google.com/?cid=6402360662841100724&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4651 W Adams Blvd, Los Angeles, CA 90016, USA","34.0327163,-118.3417754"
Blind Donkey USA,https://maps.google.com/?cid=17981481323107226399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"53 Union St, Pasadena, CA 91103, USA","34.1468816,-118.1492946"
Cervercería Del Pueblo USA,https://maps.google.com/?cid=11693529559249703090&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"141 W Bellevue Dr #100, Pasadena, CA 91105, USA","34.1385154,-118.1536331"
California Pizza Kitchen USA,https://maps.google.com/?cid=14294405371277474875&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"735 South Figueroa Street, 7th St Space 305, Los Angeles, CA 90017, USA","34.0490663,-118.2604624"
Craft by Smoke and Fire USA,https://maps.google.com/?cid=13478363678479127489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"30 W Green St, Pasadena, CA 91105, USA","34.1443768,-118.1511787"
Damon's USA,https://maps.google.com/?cid=6486446881158073048&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"317 N Brand Blvd, Glendale, CA 91203, USA","34.1506218,-118.2554664"
Der Wolf USA,https://maps.google.com/?cid=14152065006948794215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"519 S Spring St, Los Angeles, CA 90013, USA","34.0470331,-118.250239"
Edwin Mills by Equator USA,https://maps.google.com/?cid=661793131083602333&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"22 Mills Pl, Pasadena, CA 91105, USA","34.1453132,-118.1507825"
The Fable USA,https://maps.google.com/?cid=7771199744163170428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1630 Colorado Blvd, Los Angeles, CA 90041, USA","34.1392346,-118.2020612"
Glendale Tap USA,https://maps.google.com/?cid=11993132573485047549&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"4227 San Fernando Rd, Glendale, CA 91204, USA","34.1305247,-118.2613646"
Kings Row USA,https://maps.google.com/?cid=15415789068490678018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"20 E Colorado Blvd Suite 102, Pasadena, CA 91105, USA","34.1455506,-118.1500828"
Lucky Baldwins USA,https://maps.google.com/?cid=9898180514319649858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"17 S Raymond Ave, Pasadena, CA 91105, USA","34.1453862,-118.1490371"
Kabuki USA,https://maps.google.com/?cid=16732564758900087628&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"6081 Center Dr #203, Los Angeles, CA 90045, USA","33.9785684,-118.3929189"
Paperback Brewing USA,https://maps.google.com/?cid=13777347840249481761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"422 Magnolia Ave, Glendale, CA 91204, USA","34.1300553,-118.2618884"
Rocco's Tavern USA,https://maps.google.com/?cid=14212776882834514671&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3843 Main St, Culver City, CA 90232, USA","34.0244305,-118.3948643"
Taco/Social USA,https://maps.google.com/?cid=14095196171563937520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1627 Colorado Blvd, Los Angeles, CA 90041, USA","34.1397517,-118.2019927"
Yard House USA,https://maps.google.com/?cid=2663269652518794639&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"800 W Olympic Blvd A-115, Los Angeles, CA 90015, USA","34.0451045,-118.2656611"
Bacari PDR USA,https://maps.google.com/?cid=8140486655596205459&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"6805 S Vista Del Mar Ln, Playa Del Rey, CA 90293, USA","33.9586165,-118.4483973"
Baja Sharkeez USA,https://maps.google.com/?cid=13087095718022164644&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"3600 Highland Ave, Manhattan Beach, CA 90266, USA","33.9005039,-118.4174333"
El Segundo Brewing Company USA,https://maps.google.com/?cid=17986701665061556232&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"140 Main St, El Segundo, CA 90245, USA","33.9177021,-118.4156536"
Ercole's MB USA,https://maps.google.com/?cid=17971283894283162200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"1101 Manhattan Ave, Manhattan Beach, CA 90266, USA","33.8840903,-118.4106565"
Pitcher House Upper Deck USA,https://maps.google.com/?cid=6918868326894509848&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"409 N Pacific Coast Hwy #200, Redondo Beach, CA 90277, USA","33.8478751,-118.3896567"
Shellback Tavern USA,https://maps.google.com/?cid=11687651119090857324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"116 Manhattan Beach Blvd, Manhattan Beach, CA 90266, USA","33.8843352,-118.4111843"
Standard Station USA,https://maps.google.com/?cid=13897839349186580010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"226 Standard St, El Segundo, CA 90245, USA","33.9185724,-118.4145304"
